customer_id,event_type,event_date,plan_type,monthly_revenue,cancellation_reason
CUST_000043,downgrade,2025-05-21,basic,9.99,
CUST_000044,subscribe,2025-03-05,premium,22.99,
CUST_000044,downgrade,2025-04-07,premium,22.99,
CUST_000045,subscribe,2024-12-25,basic,9.99,
CUST_000045,upgrade,2025-03-17,standard,15.49,
CUST_000046,subscribe,2025-03-01,basic,9.99,
CUST_000047,subscribe,2026-01-08,standard,15.49,
CUST_000047,downgrade,2026-02-08,standard,15.49,
CUST_000048,subscribe,2025-07-02,standard,15.49,
CUST_000049,subscribe,2026-01-30,basic,9.99,
CUST_000049,cancel,2027-01-14,basic,0.0,switching_competitor
CUST_000050,subscribe,2024-05-26,premium,22.99,
CUST_000051,subscribe,2026-01-18,standard,15.49,
CUST_000052,subscribe,2024-07-26,basic,9.99,
CUST_000053,subscribe,2024-04-30,premium,22.99,
CUST_000054,subscribe,2025-07-05,standard,15.49,
CUST_000055,subscribe,2024-08-02,basic,9.99,
CUST_000055,downgrade,2024-11-03,basic,9.99,
CUST_000056,subscribe,2026-01-15,standard,15.49,
CUST_000057,subscribe,2024-07-27,standard,15.49,
CUST_000057,downgrade,2025-01-19,standard,15.49,
CUST_000057,cancel,2025-07-11,standard,0.0,switching_competitor
CUST_000058,subscribe,2024-04-20,standard,15.49,
CUST_000058,upgrade,2024-07-28,premium,22.99,
CUST_000058,cancel,2024-10-10,standard,0.0,technical_issues
CUST_000059,subscribe,2024-08-22,basic,9.99,
CUST_000060,subscribe,2025-06-14,premium,22.99,
CUST_000061,subscribe,2025-03-05,premium,22.99,
CUST_000062,subscribe,2025-11-08,premium,22.99,
CUST_000062,downgrade,2026-04-11,basic,9.99,
CUST_000063,subscribe,2026-01-08,basic,9.99,
CUST_000063,downgrade,2026-05-19,basic,9.99,
CUST_000064,subscribe,2025-08-21,standard,15.49,
CUST_000064,downgrade,2025-10-22,standard,15.49,
CUST_000065,subscribe,2025-08-25,standard,15.49,
CUST_000066,subscribe,2025-01-16,premium,22.99,
CUST_000066,downgrade,2025-03-16,premium,22.99,
CUST_000067,subscribe,2024-05-30,standard,15.49,
CUST_000067,downgrade,2024-07-16,standard,15.49,
CUST_000068,subscribe,2025-06-12,standard,15.49,
CUST_000068,downgrade,2025-08-23,standard,15.49,
CUST_000069,subscribe,2025-06-26,standard,15.49,
CUST_000070,subscribe,2024-12-10,premium,22.99,
CUST_000070,downgrade,2025-04-20,premium,22.99,
CUST_000071,subscribe,2024-11-15,basic,9.99,
CUST_000071,upgrade,2025-02-25,standard,15.49,
CUST_000072,subscribe,2025-01-11,premium,22.99,
CUST_000073,subscribe,2025-05-06,basic,9.99,
CUST_000073,downgrade,2025-09-14,basic,9.99,
CUST_000074,subscribe,2025-12-19,basic,9.99,
CUST_000075,subscribe,2024-08-05,basic,9.99,
CUST_000076,subscribe,2024-10-06,basic,9.99,
CUST_000076,cancel,2025-01-20,basic,0.0,personal_reasons
CUST_000077,subscribe,2025-05-04,premium,22.99,
CUST_000078,subscribe,2025-08-07,premium,22.99,
CUST_000078,downgrade,2025-09-15,premium,22.99,
CUST_000079,subscribe,2024-10-12,basic,9.99,
CUST_000079,cancel,2025-04-30,basic,0.0,too_expensive
CUST_000080,subscribe,2025-08-10,basic,9.99,
CUST_000080,downgrade,2025-12-17,basic,9.99,
CUST_000081,subscribe,2025-06-08,basic,9.99,
CUST_000081,upgrade,2025-07-25,premium,22.99,
CUST_000082,subscribe,2024-08-13,basic,9.99,
CUST_000082,upgrade,2024-12-15,premium,22.99,
CUST_000083,subscribe,2024-08-27,standard,15.49,
CUST_000084,subscribe,2025-08-28,basic,9.99,
CUST_000084,upgrade,2025-10-07,premium,22.99,
CUST_000085,subscribe,2025-01-17,premium,22.99,
CUST_000086,subscribe,2025-05-13,premium,22.99,
CUST_000086,cancel,2026-05-01,premium,0.0,not_enough_content
CUST_000087,subscribe,2026-02-20,basic,9.99,
CUST_000088,subscribe,2025-10-05,standard,15.49,
CUST_000089,subscribe,2025-06-26,basic,9.99,
CUST_000089,downgrade,2025-09-03,basic,9.99,
CUST_000090,subscribe,2025-09-11,basic,9.99,
CUST_000090,cancel,2026-07-21,basic,0.0,switching_competitor
CUST_000091,subscribe,2024-07-03,basic,9.99,
CUST_000092,subscribe,2024-09-11,basic,9.99,
CUST_000092,cancel,2025-09-09,basic,0.0,not_enough_content
CUST_000093,subscribe,2025-04-22,standard,15.49,
CUST_000094,subscribe,2024-05-09,standard,15.49,
CUST_000094,downgrade,2024-07-17,standard,15.49,
CUST_000095,subscribe,2025-06-25,basic,9.99,
CUST_000096,subscribe,2025-12-14,basic,9.99,
CUST_000097,subscribe,2026-02-13,basic,9.99,
CUST_000097,upgrade,2026-05-03,premium,22.99,
CUST_000098,subscribe,2025-08-16,standard,15.49,
CUST_000099,subscribe,2024-11-27,premium,22.99,
CUST_000099,cancel,2025-02-01,premium,0.0,too_expensive
CUST_000100,subscribe,2026-03-04,premium,22.99,
CUST_000101,subscribe,2025-11-16,basic,9.99,
CUST_000101,downgrade,2026-04-30,basic,9.99,
CUST_000101,cancel,2026-08-14,basic,0.0,switching_competitor
CUST_000102,subscribe,2025-05-30,basic,9.99,
CUST_000103,subscribe,2025-02-06,standard,15.49,
CUST_000103,downgrade,2025-03-22,standard,15.49,
CUST_000104,subscribe,2025-10-23,standard,15.49,
CUST_000104,downgrade,2026-03-06,basic,9.99,
CUST_000104,cancel,2026-04-22,standard,0.0,personal_reasons
CUST_000105,subscribe,2026-01-10,premium,22.99,
CUST_000106,subscribe,2024-07-07,standard,15.49,
CUST_000107,subscribe,2026-01-16,premium,22.99,
CUST_000107,downgrade,2026-05-20,standard,15.49,
CUST_000108,subscribe,2024-05-08,basic,9.99,
CUST_000108,downgrade,2024-08-05,basic,9.99,
CUST_000109,subscribe,2025-12-02,premium,22.99,
CUST_000109,downgrade,2026-05-25,basic,9.99,
CUST_000110,subscribe,2025-09-19,basic,9.99,
CUST_000110,upgrade,2026-03-13,standard,15.49,
CUST_000110,cancel,2026-03-24,basic,0.0,too_expensive
CUST_000111,subscribe,2025-05-04,premium,22.99,
CUST_000112,subscribe,2025-02-22,standard,15.49,
CUST_000113,subscribe,2024-07-07,basic,9.99,
CUST_000113,upgrade,2024-08-24,premium,22.99,
CUST_000114,subscribe,2024-08-14,standard,15.49,
CUST_000114,downgrade,2025-02-06,standard,15.49,
CUST_000115,subscribe,2025-03-15,standard,15.49,
CUST_000116,subscribe,2025-08-27,premium,22.99,
CUST_000116,downgrade,2026-01-03,premium,22.99,
CUST_000117,subscribe,2025-11-14,premium,22.99,
CUST_000118,subscribe,2024-11-21,basic,9.99,
CUST_000118,cancel,2025-08-18,basic,0.0,technical_issues
CUST_000119,subscribe,2025-01-30,standard,15.49,
CUST_000120,subscribe,2025-12-17,basic,9.99,
CUST_000120,cancel,2026-03-14,basic,0.0,technical_issues
CUST_000121,subscribe,2025-02-11,basic,9.99,
CUST_000122,subscribe,2024-11-03,standard,15.49,
CUST_000123,subscribe,2024-05-05,premium,22.99,
CUST_000124,subscribe,2025-07-19,standard,15.49,
CUST_000125,subscribe,2025-02-07,standard,15.49,
CUST_000125,downgrade,2025-04-22,standard,15.49,
CUST_000126,subscribe,2025-03-09,premium,22.99,
CUST_000127,subscribe,2025-02-17,basic,9.99,
CUST_000127,cancel,2025-07-02,basic,0.0,switching_competitor
CUST_000128,subscribe,2025-12-23,premium,22.99,
CUST_000129,subscribe,2026-03-22,basic,9.99,
CUST_000130,subscribe,2024-06-21,basic,9.99,
CUST_000130,upgrade,2024-08-26,standard,15.49,
CUST_000131,subscribe,2024-05-01,premium,22.99,
CUST_000131,downgrade,2024-10-16,standard,15.49,
CUST_000132,subscribe,2025-03-28,basic,9.99,
CUST_000133,subscribe,2026-01-22,premium,22.99,
CUST_000134,subscribe,2025-09-04,premium,22.99,
CUST_000134,downgrade,2026-01-02,premium,22.99,
CUST_000135,subscribe,2025-08-18,premium,22.99,
CUST_000135,downgrade,2026-01-02,standard,15.49,
CUST_000136,subscribe,2024-07-29,basic,9.99,
CUST_000137,subscribe,2026-01-26,standard,15.49,
CUST_000138,subscribe,2025-12-18,basic,9.99,
CUST_000139,subscribe,2024-09-20,basic,9.99,
CUST_000140,subscribe,2025-12-29,basic,9.99,
CUST_000141,subscribe,2025-06-24,standard,15.49,
CUST_000142,subscribe,2025-07-30,basic,9.99,
CUST_000143,subscribe,2025-07-24,basic,9.99,
CUST_000143,upgrade,2025-10-14,premium,22.99,
CUST_000144,subscribe,2026-02-12,standard,15.49,
CUST_000144,upgrade,2026-05-01,premium,22.99,
CUST_000145,subscribe,2024-09-27,standard,15.49,
CUST_000146,subscribe,2025-04-19,basic,9.99,
CUST_000146,cancel,2026-02-14,basic,0.0,personal_reasons
CUST_000147,subscribe,2024-11-24,basic,9.99,
CUST_000148,subscribe,2025-02-14,standard,15.49,
CUST_000149,subscribe,2025-02-09,premium,22.99,
CUST_000150,subscribe,2025-12-17,standard,15.49,
CUST_000151,subscribe,2025-07-17,premium,22.99,
CUST_000152,subscribe,2025-03-09,standard,15.49,
CUST_000153,subscribe,2025-03-25,premium,22.99,
CUST_000154,subscribe,2025-02-22,basic,9.99,
CUST_000155,subscribe,2024-07-08,basic,9.99,
CUST_000156,subscribe,2024-10-17,standard,15.49,
CUST_000157,subscribe,2024-07-13,basic,9.99,
CUST_000158,subscribe,2025-04-06,premium,22.99,
CUST_000159,subscribe,2025-07-21,premium,22.99,
CUST_000160,subscribe,2025-07-26,premium,22.99,
CUST_000160,cancel,2025-11-20,premium,0.0,not_enough_content
CUST_000161,subscribe,2025-03-14,premium,22.99,
CUST_000161,downgrade,2025-05-23,premium,22.99,
CUST_000161,cancel,2025-10-17,premium,0.0,technical_issues
CUST_000162,subscribe,2025-05-02,standard,15.49,
CUST_000163,subscribe,2024-08-20,premium,22.99,
CUST_000164,subscribe,2024-04-23,standard,15.49,
CUST_000165,subscribe,2026-03-06,standard,15.49,
CUST_000165,downgrade,2026-07-12,basic,9.99,
CUST_000166,subscribe,2026-01-14,basic,9.99,
CUST_000167,subscribe,2025-01-03,standard,15.49,
CUST_000167,upgrade,2025-06-26,premium,22.99,
CUST_000168,subscribe,2025-07-29,premium,22.99,
CUST_000169,subscribe,2026-01-29,standard,15.49,
CUST_000169,cancel,2026-12-22,standard,0.0,personal_reasons
CUST_000170,subscribe,2024-09-30,premium,22.99,
CUST_000171,subscribe,2025-10-24,basic,9.99,
CUST_000171,upgrade,2026-02-12,standard,15.49,
CUST_000172,subscribe,2026-03-11,basic,9.99,
CUST_000173,subscribe,2024-10-28,premium,22.99,
CUST_000174,subscribe,2024-12-21,standard,15.49,
CUST_000174,downgrade,2025-04-10,standard,15.49,
CUST_000175,subscribe,2025-04-02,basic,9.99,
CUST_000176,subscribe,2025-08-17,standard,15.49,
CUST_000176,cancel,2025-12-09,standard,0.0,personal_reasons
CUST_000177,subscribe,2025-07-02,basic,9.99,
CUST_000178,subscribe,2025-04-19,premium,22.99,
CUST_000179,subscribe,2025-01-09,premium,22.99,
CUST_000180,subscribe,2024-06-09,premium,22.99,
CUST_000181,subscribe,2024-09-24,basic,9.99,
CUST_000181,downgrade,2024-11-06,basic,9.99,
CUST_000182,subscribe,2024-12-30,basic,9.99,
CUST_000183,subscribe,2025-11-21,premium,22.99,
CUST_000183,downgrade,2026-02-10,standard,15.49,
CUST_000184,subscribe,2024-09-26,standard,15.49,
CUST_000185,subscribe,2025-12-06,standard,15.49,
CUST_000186,subscribe,2025-09-25,premium,22.99,
CUST_000187,subscribe,2026-02-19,standard,15.49,
CUST_000187,upgrade,2026-06-09,premium,22.99,
CUST_000188,subscribe,2024-11-03,premium,22.99,
CUST_000189,subscribe,2024-07-10,basic,9.99,
CUST_000190,subscribe,2025-03-10,standard,15.49,
CUST_000191,subscribe,2025-08-26,premium,22.99,
CUST_000192,subscribe,2024-09-04,premium,22.99,
CUST_000192,downgrade,2025-02-24,basic,9.99,
CUST_000193,subscribe,2025-04-28,premium,22.99,
CUST_000193,downgrade,2025-07-08,basic,9.99,
CUST_000194,subscribe,2024-07-05,standard,15.49,
CUST_000195,subscribe,2024-10-12,basic,9.99,
CUST_000195,cancel,2025-10-08,basic,0.0,personal_reasons
CUST_000196,subscribe,2025-10-17,basic,9.99,
CUST_000197,subscribe,2026-01-10,premium,22.99,
CUST_000198,subscribe,2024-11-19,standard,15.49,
CUST_000199,subscribe,2025-08-06,basic,9.99,
CUST_000199,cancel,2026-05-31,basic,0.0,switching_competitor
CUST_000200,subscribe,2024-12-10,basic,9.99,
CUST_000201,subscribe,2024-04-19,standard,15.49,
CUST_000202,subscribe,2026-02-23,premium,22.99,
CUST_000202,cancel,2026-07-29,premium,0.0,not_enough_content
CUST_000203,subscribe,2025-01-08,standard,15.49,
CUST_000204,subscribe,2024-07-03,premium,22.99,
CUST_000204,downgrade,2024-09-05,basic,9.99,
CUST_000205,subscribe,2025-05-22,premium,22.99,
CUST_000206,subscribe,2025-12-25,basic,9.99,
CUST_000207,subscribe,2025-04-22,standard,15.49,
CUST_000208,subscribe,2024-12-25,basic,9.99,
CUST_000209,subscribe,2025-08-19,premium,22.99,
CUST_000209,cancel,2026-08-12,premium,0.0,switching_competitor
CUST_000210,subscribe,2024-07-29,standard,15.49,
CUST_000211,subscribe,2025-03-10,premium,22.99,
CUST_000212,subscribe,2024-07-02,standard,15.49,
CUST_000212,downgrade,2024-12-04,basic,9.99,
CUST_000213,subscribe,2024-11-02,basic,9.99,
CUST_000214,subscribe,2024-12-06,basic,9.99,
CUST_000215,subscribe,2024-07-14,basic,9.99,
CUST_000215,cancel,2024-11-25,basic,0.0,too_expensive
CUST_000216,subscribe,2024-07-04,standard,15.49,
CUST_000217,subscribe,2024-08-04,standard,15.49,
CUST_000217,downgrade,2024-11-18,basic,9.99,
CUST_000218,subscribe,2024-05-30,basic,9.99,
CUST_000219,subscribe,2024-07-14,premium,22.99,
CUST_000220,subscribe,2026-01-17,standard,15.49,
CUST_000220,upgrade,2026-04-07,premium,22.99,
CUST_000221,subscribe,2025-09-08,basic,9.99,
CUST_000222,subscribe,2024-09-09,basic,9.99,
CUST_000223,subscribe,2024-05-04,basic,9.99,
CUST_000224,subscribe,2025-02-04,standard,15.49,
CUST_000225,subscribe,2025-07-17,basic,9.99,
CUST_000225,upgrade,2025-12-20,premium,22.99,
CUST_000226,subscribe,2025-09-22,basic,9.99,
CUST_000226,upgrade,2026-02-05,premium,22.99,
CUST_000226,cancel,2026-06-18,basic,0.0,not_enough_content
CUST_000227,subscribe,2024-12-02,standard,15.49,
CUST_000227,cancel,2025-03-17,standard,0.0,switching_competitor
CUST_000228,subscribe,2024-08-30,basic,9.99,
CUST_000228,upgrade,2025-02-09,standard,15.49,
CUST_000229,subscribe,2025-05-24,premium,22.99,
CUST_000230,subscribe,2025-01-12,premium,22.99,
CUST_000230,downgrade,2025-03-25,standard,15.49,
CUST_000230,cancel,2025-08-31,premium,0.0,too_expensive
CUST_000231,subscribe,2025-04-03,basic,9.99,
CUST_000232,subscribe,2025-11-18,premium,22.99,
CUST_000233,subscribe,2025-05-12,basic,9.99,
CUST_000233,upgrade,2025-09-05,standard,15.49,
CUST_000234,subscribe,2025-11-17,premium,22.99,
CUST_000234,downgrade,2026-04-13,premium,22.99,
CUST_000235,subscribe,2025-12-28,basic,9.99,
CUST_000236,subscribe,2026-01-14,standard,15.49,
CUST_000237,subscribe,2025-04-18,premium,22.99,
CUST_000237,downgrade,2025-05-20,premium,22.99,
CUST_000237,cancel,2026-01-16,premium,0.0,personal_reasons
CUST_000238,subscribe,2025-11-05,premium,22.99,
CUST_000238,downgrade,2026-01-25,standard,15.49,
CUST_000239,subscribe,2025-04-29,basic,9.99,
CUST_000240,subscribe,2025-08-10,premium,22.99,
CUST_000241,subscribe,2024-09-12,basic,9.99,
CUST_000241,upgrade,2024-12-20,premium,22.99,
CUST_000242,subscribe,2024-06-24,basic,9.99,
CUST_000243,subscribe,2025-02-07,standard,15.49,
CUST_000244,subscribe,2026-01-07,basic,9.99,
CUST_000245,subscribe,2025-03-17,premium,22.99,
CUST_000246,subscribe,2026-01-05,basic,9.99,
CUST_000246,cancel,2026-02-06,basic,0.0,technical_issues
CUST_000247,subscribe,2025-04-14,basic,9.99,
CUST_000248,subscribe,2025-04-27,standard,15.49,
CUST_000248,downgrade,2025-08-01,standard,15.49,
CUST_000249,subscribe,2025-04-05,basic,9.99,
CUST_000249,cancel,2025-05-18,basic,0.0,technical_issues
CUST_000250,subscribe,2025-03-31,premium,22.99,
CUST_000250,downgrade,2025-08-23,basic,9.99,
CUST_000250,cancel,2026-01-30,premium,0.0,too_expensive
CUST_000251,subscribe,2025-08-24,standard,15.49,
CUST_000252,subscribe,2026-02-24,standard,15.49,
CUST_000253,subscribe,2026-02-03,basic,9.99,
CUST_000253,cancel,2026-12-13,basic,0.0,too_expensive
CUST_000254,subscribe,2024-05-28,standard,15.49,
CUST_000254,downgrade,2024-07-24,basic,9.99,
CUST_000255,subscribe,2024-12-29,premium,22.99,
CUST_000255,downgrade,2025-05-03,basic,9.99,
CUST_000255,cancel,2025-09-27,premium,0.0,too_expensive
CUST_000256,subscribe,2025-12-10,premium,22.99,
CUST_000256,downgrade,2026-01-31,basic,9.99,
CUST_000257,subscribe,2025-07-24,standard,15.49,
CUST_000258,subscribe,2024-10-28,standard,15.49,
CUST_000258,downgrade,2025-02-22,basic,9.99,
CUST_000259,subscribe,2025-07-07,premium,22.99,
CUST_000260,subscribe,2024-10-06,standard,15.49,
CUST_000260,cancel,2024-11-14,standard,0.0,not_enough_content
CUST_000261,subscribe,2024-12-17,standard,15.49,
CUST_000262,subscribe,2024-06-30,standard,15.49,
CUST_000262,cancel,2025-01-20,standard,0.0,technical_issues
CUST_000263,subscribe,2024-05-28,premium,22.99,
CUST_000264,subscribe,2025-08-13,standard,15.49,
CUST_000265,subscribe,2025-01-28,basic,9.99,
CUST_000266,subscribe,2024-10-23,premium,22.99,
CUST_000267,subscribe,2025-11-07,basic,9.99,
CUST_000267,downgrade,2026-01-27,basic,9.99,
CUST_000268,subscribe,2025-07-06,standard,15.49,
CUST_000269,subscribe,2025-12-30,basic,9.99,
CUST_000270,subscribe,2025-06-08,premium,22.99,
CUST_000270,downgrade,2025-07-31,premium,22.99,
CUST_000271,subscribe,2025-05-25,basic,9.99,
CUST_000271,upgrade,2025-08-22,premium,22.99,
CUST_000272,subscribe,2025-05-04,premium,22.99,
CUST_000272,downgrade,2025-06-23,premium,22.99,
CUST_000272,cancel,2025-12-25,premium,0.0,technical_issues
CUST_000273,subscribe,2025-03-08,premium,22.99,
CUST_000274,subscribe,2025-12-08,standard,15.49,
CUST_000275,subscribe,2025-06-03,standard,15.49,
CUST_000275,cancel,2026-03-26,standard,0.0,not_enough_content
CUST_000276,subscribe,2025-01-12,basic,9.99,
CUST_000276,cancel,2025-11-14,basic,0.0,technical_issues
CUST_000277,subscribe,2025-05-30,basic,9.99,
CUST_000278,subscribe,2025-02-14,premium,22.99,
CUST_000278,downgrade,2025-03-31,standard,15.49,
CUST_000279,subscribe,2026-04-07,premium,22.99,
CUST_000280,subscribe,2024-09-12,premium,22.99,
CUST_000281,subscribe,2026-01-04,premium,22.99,
CUST_000281,downgrade,2026-04-11,basic,9.99,
CUST_000282,subscribe,2025-12-26,basic,9.99,
CUST_000282,upgrade,2026-06-21,premium,22.99,
CUST_000282,cancel,2026-04-01,basic,0.0,not_enough_content
CUST_000283,subscribe,2025-11-05,standard,15.49,
CUST_000283,cancel,2026-04-19,standard,0.0,too_expensive
CUST_000284,subscribe,2025-10-23,premium,22.99,
CUST_000284,downgrade,2026-01-19,standard,15.49,
CUST_000285,subscribe,2025-01-07,premium,22.99,
CUST_000285,downgrade,2025-04-22,premium,22.99,
CUST_000285,cancel,2025-05-25,premium,0.0,personal_reasons
CUST_000286,subscribe,2026-04-03,basic,9.99,
CUST_000287,subscribe,2025-07-26,basic,9.99,
CUST_000288,subscribe,2025-04-19,basic,9.99,
CUST_000288,upgrade,2025-08-15,standard,15.49,
CUST_000289,subscribe,2025-10-06,basic,9.99,
CUST_000290,subscribe,2026-03-07,premium,22.99,
CUST_000291,subscribe,2024-10-07,basic,9.99,
CUST_000292,subscribe,2026-02-28,premium,22.99,
CUST_000293,subscribe,2026-01-01,premium,22.99,
CUST_000293,downgrade,2026-02-16,basic,9.99,
CUST_000293,cancel,2026-07-08,premium,0.0,too_expensive
CUST_000294,subscribe,2024-05-13,premium,22.99,
CUST_000294,downgrade,2024-06-27,standard,15.49,
CUST_000295,subscribe,2025-02-12,basic,9.99,
CUST_000296,subscribe,2024-10-21,basic,9.99,
CUST_000297,subscribe,2025-03-20,premium,22.99,
CUST_000297,downgrade,2025-08-11,premium,22.99,
CUST_000297,cancel,2026-01-14,premium,0.0,too_expensive
CUST_000298,subscribe,2025-05-24,standard,15.49,
CUST_000298,cancel,2025-10-31,standard,0.0,too_expensive
CUST_000299,subscribe,2025-01-04,standard,15.49,
CUST_000300,subscribe,2024-06-09,standard,15.49,
CUST_000300,cancel,2024-09-08,standard,0.0,switching_competitor
CUST_000301,subscribe,2024-12-02,basic,9.99,
CUST_000302,subscribe,2024-10-09,standard,15.49,
CUST_000303,subscribe,2025-05-02,premium,22.99,
CUST_000304,subscribe,2024-05-26,standard,15.49,
CUST_000305,subscribe,2025-02-02,standard,15.49,
CUST_000306,subscribe,2025-09-04,basic,9.99,
CUST_000306,cancel,2026-04-01,basic,0.0,switching_competitor
CUST_000307,subscribe,2025-06-04,premium,22.99,
CUST_000308,subscribe,2025-07-13,premium,22.99,
CUST_000308,cancel,2025-11-27,premium,0.0,technical_issues
CUST_000309,subscribe,2026-02-11,standard,15.49,
CUST_000310,subscribe,2025-06-13,standard,15.49,
CUST_000311,subscribe,2025-04-05,basic,9.99,
CUST_000312,subscribe,2024-08-14,basic,9.99,
CUST_000313,subscribe,2024-11-14,standard,15.49,
CUST_000313,downgrade,2024-12-24,basic,9.99,
CUST_000314,subscribe,2025-06-27,standard,15.49,
CUST_000315,subscribe,2025-09-04,basic,9.99,
CUST_000315,cancel,2026-04-07,basic,0.0,technical_issues
CUST_000316,subscribe,2025-06-25,standard,15.49,
CUST_000317,subscribe,2025-03-17,standard,15.49,
CUST_000318,subscribe,2026-01-25,basic,9.99,
CUST_000318,cancel,2026-06-20,basic,0.0,technical_issues
CUST_000319,subscribe,2026-03-07,basic,9.99,
CUST_000320,subscribe,2024-10-28,basic,9.99,
CUST_000321,subscribe,2026-02-15,premium,22.99,
CUST_000322,subscribe,2025-05-08,standard,15.49,
CUST_000322,downgrade,2025-09-22,standard,15.49,
CUST_000323,subscribe,2024-10-04,premium,22.99,
CUST_000324,subscribe,2025-09-18,basic,9.99,
CUST_000325,subscribe,2024-07-03,basic,9.99,
CUST_000326,subscribe,2024-09-15,premium,22.99,
CUST_000327,subscribe,2026-02-19,standard,15.49,
CUST_000328,subscribe,2025-02-21,premium,22.99,
CUST_000328,downgrade,2025-03-26,standard,15.49,
CUST_000329,subscribe,2025-01-21,standard,15.49,
CUST_000329,cancel,2025-02-25,standard,0.0,not_enough_content
CUST_000330,subscribe,2024-07-01,standard,15.49,
CUST_000330,downgrade,2024-09-24,basic,9.99,
CUST_000331,subscribe,2025-12-09,premium,22.99,
CUST_000331,downgrade,2026-05-08,standard,15.49,
CUST_000332,subscribe,2025-10-26,basic,9.99,
CUST_000332,upgrade,2026-01-14,standard,15.49,
CUST_000333,subscribe,2026-04-06,standard,15.49,
CUST_000333,downgrade,2026-06-15,standard,15.49,
CUST_000334,subscribe,2025-11-01,premium,22.99,
CUST_000335,subscribe,2025-07-25,premium,22.99,
CUST_000336,subscribe,2024-11-05,premium,22.99,
CUST_000337,subscribe,2024-10-15,standard,15.49,
CUST_000337,downgrade,2025-03-21,standard,15.49,
CUST_000338,subscribe,2025-03-21,standard,15.49,
CUST_000339,subscribe,2024-06-08,basic,9.99,
CUST_000340,subscribe,2024-10-05,premium,22.99,
CUST_000340,downgrade,2024-11-19,premium,22.99,
CUST_000341,subscribe,2025-07-08,premium,22.99,
CUST_000341,cancel,2026-02-07,premium,0.0,too_expensive
CUST_000342,subscribe,2024-07-10,basic,9.99,
CUST_000342,upgrade,2024-12-09,standard,15.49,
CUST_000343,subscribe,2025-04-28,basic,9.99,
