content_id,tmdb_id,title,content_type,genres,primary_genre,release_date,vote_average,vote_count,popularity,original_language,overview,runtime_minutes
TMDB_M_1290417,1290417,Thrash,movie,Horror|Thriller,Horror,2026-04-10,5.851,47,123.6235,en,"When a Category 5 hurricane decimates a coastal town, the storm surge brings devastation, chaos and something far more frightening: hungry sharks.",105
TMDB_M_1193501,1193501,Whistle,movie,Horror|Mystery,Horror,2026-01-20,5.996,231,105.2584,en,"A misfit group of unwitting high school students stumble upon a cursed object, an ancient Aztec Death Whistle. They discover that blowing the whistle and the terrifying sound it emits will summon thei",171
TMDB_M_329505,329505,Lola's Secret,movie,Drama|Comedy|Horror,Drama,1984-05-04,6.9,68,80.7448,it,Young man has his dreams come true when the sexy new maid seduces him. But she also has a secret that leads to trouble.,163
TMDB_M_680493,680493,Return to Silent Hill,movie,Mystery|Drama|Horror,Mystery,2026-01-21,4.992,321,91.2201,en,"When James receives a mysterious letter from his lost love Mary, he is drawn to Silent Hill—a once-familiar town now consumed by darkness. As he searches for her, James faces monstrous creatures and u",169
TMDB_M_1368166,1368166,The Housemaid,movie,Mystery|Thriller,Mystery,2025-12-18,7.19,1759,94.1337,en,"Trying to escape her past, Millie Calloway accepts a job as a live-in housemaid for the wealthy Nina and Andrew Winchester. But what begins as a dream job quickly unravels into something far more dang",149
TMDB_M_1316092,1316092,"""Wuthering Heights""",movie,Romance|Drama,Romance,2026-02-11,6.5,725,88.6302,en,"Tragedy strikes when Heathcliff falls in love with Catherine Earnshaw, a woman from a wealthy family in 18th-century England.",133
TMDB_M_1339876,1339876,Mardaani 3,movie,Action|Crime|Thriller,Action,2026-01-30,7.5,20,86.5961,hi,"Officer Shivani Shivaji Roy returns to hunt down those behind the disappearance of young girls, risking everything to bring them back alive.",108
TMDB_M_1526650,1526650,Mudborn,movie,Horror|Thriller,Horror,2025-10-09,6.8,6,86.0652,zh,"Hsu-Chuan, who works at a game company, accidentally brings home a broken clay doll from a haunted house while developing a new horror VR game. Unexpectedly, his pregnant wife, Mu-Hua, a cultural reli",137
TMDB_M_1198994,1198994,Send Help,movie,Horror|Thriller|Comedy,Horror,2026-01-22,7.037,919,81.9377,en,"Two colleagues become stranded on a deserted island, the only survivors of a plane crash. On the island, they must overcome past grievances and work together to survive, but ultimately, it's a battle ",155
TMDB_M_1168190,1168190,The Wrecking Crew,movie,Action|Comedy|Crime|Mystery,Action,2026-01-28,6.901,880,75.7185,en,"Estranged half-brothers Jonny and James reunite after their father's mysterious death. As they search for the truth, buried secrets reveal a conspiracy threatening to tear their family apart.",115
TMDB_M_1088434,1088434,Hellfire,movie,Action|Thriller,Action,2026-02-05,6.899,69,73.8739,en,A drifter with a mysterious past arrives in a small town and finds the residents in the grip of a ruthless crime boss and realizes he has to help them.,80
TMDB_M_350,350,The Devil Wears Prada,movie,Drama|Comedy,Drama,2006-06-29,7.4,12899,79.5829,en,"A young woman from the Midwest gets more than she bargained for when she moves to New York to become a writer and ends up as the assistant to the tyrannical, larger-than-life editor-in-chief of a majo",177
TMDB_M_1297454,1297454,The Death That Awaits,movie,Horror|Thriller,Horror,2025-02-06,6.029,17,67.2611,en,A drifter searching for answers to a mystery from her past takes on a job looking after a sick teen who is undergoing a mysterious transformation her family will do anything to stop.,100
TMDB_M_1236153,1236153,Mercy,movie,Science Fiction|Action|Thriller|Crime,Science Fiction,2026-01-20,7.0,1057,73.6196,en,"In the near future, a detective stands on trial accused of murdering his wife. He has ninety minutes to prove his innocence to the advanced AI Judge he once championed, before it determines his fate.",169
TMDB_M_879945,879945,The Unknown Man,movie,Drama,Drama,2021-10-16,7.333,3,70.2947,nl,"Louis, a Flemish writer, decides to isolate himself at the Côte d’Azur, hoping this place will bring him inspiration.",134
TMDB_M_755898,755898,War of the Worlds,movie,Science Fiction|Thriller,Science Fiction,2025-07-29,4.145,951,78.1141,en,"Will Radford is a top analyst for Homeland Security who tracks potential threats through a mass surveillance program, until one day an attack by an unknown entity leads him to question whether the gov",123
TMDB_M_634649,634649,Spider-Man: No Way Home,movie,Action|Adventure|Science Fiction,Action,2021-12-15,7.9,21770,70.6937,en,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, for",115
TMDB_M_1325734,1325734,The Drama,movie,Romance|Comedy|Drama,Romance,2026-03-26,7.126,257,69.6659,en,A happily engaged couple is put to the test when an unexpected turn sends their wedding week off the rails.,99
TMDB_M_1493859,1493859,Pizza Movie,movie,Adventure|Comedy|Fantasy,Adventure,2026-03-13,6.6,58,66.9235,en,"A shy college student and his reckless roommate set out on a simple mission to grab pizza, but after a strange dose of a mind-bending experimental drug, they're thrust into a chaotic night of absurd e",107
TMDB_M_1234731,1234731,Anaconda,movie,Adventure|Comedy|Horror,Adventure,2025-12-24,5.876,974,73.0832,en,"A group of friends facing mid-life crises head to the rainforest with the intention of remaking their favorite movie from their youth, only to find themselves in a fight for their lives against natura",177
TMDB_M_875828,875828,Peaky Blinders: The Immortal Man,movie,Crime|Drama,Crime,2026-03-05,7.242,728,71.7974,en,"After his estranged son gets embroiled in a Nazi plot, self-exiled gangster Tommy Shelby must return to Birmingham to save his family — and his nation.",123
TMDB_M_999136,999136,Do Not Enter,movie,Horror,Horror,2026-03-19,5.481,54,61.9498,en,"A group of young explorers investigates an old abandoned hotel, only to encounter a strange supernatural being and a competing group looking for a legendary hidden treasure.",93
TMDB_M_1653994,1653994,Shrounding the Heavens Movie：Fighting Against Wang Teng with Copper Coffin,movie,Animation|Action,Animation,2026-04-04,6.5,4,67.3643,zh,,91
TMDB_M_1276038,1276038,A Desert,movie,Horror|Thriller,Horror,2025-05-02,6.1,22,63.7532,en,"A photographer’s road trip takes a dark turn when he befriends a reckless couple, plunging him into a nightmarish neo-noir spiral of unpredictable horror.",128
TMDB_M_157336,157336,Interstellar,movie,Adventure|Drama|Science Fiction,Adventure,2014-11-05,8.47,39337,67.1906,en,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,92
TMDB_M_1572073,1572073,The Deadly Little Mermaid,movie,Horror,Horror,2026-03-06,4.717,23,57.3749,en,"Some secrets are better left at the bottom of the ocean. Once she's in your house, there is no escape. When a struggling artist pulls a beautiful, unconscious woman from the freezing coastal waters, h",125
TMDB_M_1242898,1242898,Predator: Badlands,movie,Action|Science Fiction|Adventure,Action,2025-11-05,7.697,2589,58.0664,en,"Cast out from his clan, a young Predator finds an unlikely ally in a damaged android and embarks on a treacherous journey in search of the ultimate adversary.",124
TMDB_M_52741,52741,Side Out,movie,Comedy|Drama|Romance,Comedy,1990-03-30,5.2,39,59.2258,en,A law student comes to California for the summer and ends up playing professional volleyball.,157
TMDB_M_1610418,1610418,The House on Haunted Grounds,movie,Horror,Horror,2026-01-01,3.4,4,64.3926,en,"They walked into a haunted house with a history of possession and murder. The victims never came out, but the footage did.",113
TMDB_M_1646787,1646787,Sundutan,movie,Drama,Drama,2026-03-06,4.0,1,57.5661,tl,"A hole on the wall accidentally connects two women emotionally and physically. Forbidden love, greed, betrayal... what lies beyond the hole? And for how long can they keep covering it up?",85
TMDB_M_1582770,1582770,Dhurandhar: The Revenge,movie,Action|Crime|Thriller,Action,2026-03-18,7.7,53,54.5747,hi,"As rival gangs, corrupt officials and a ruthless Major Iqbal close in, Hamza's mission for his country spirals into a bloody personal war where the line between patriot and monster disappears in the s",173
TMDB_M_1539104,1539104,JUJUTSU KAISEN: Execution,movie,Animation|Action|Fantasy,Animation,2025-11-07,5.9,92,54.3267,ja,"A veil abruptly descends over the busy Shibuya area amid the bustling Halloween crowds, trapping countless civilians inside. Satoru Gojo, the strongest jujutsu sorcerer, steps into the chaos. But lyin",138
TMDB_M_181808,181808,Star Wars: The Last Jedi,movie,Adventure|Action|Science Fiction,Adventure,2017-12-13,6.8,16215,57.2903,en,"Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares to do battle with the First Order.",148
TMDB_M_1381216,1381216,Lake Jesup: Bonecrusher's Revenge,movie,Horror|Comedy|Adventure,Horror,2024-05-01,6.325,40,51.1076,en,"In 2003, Lake Jesup became the stage for a real-life horror story, as a monstrous alligator escaped from captivity and began a reign of terror. As the body count rose, a desperate hunt ensued to stop ",95
TMDB_M_58008,58008,Night Nurse,movie,Comedy,Comedy,1979-02-07,5.1,51,43.6479,it,"A dentist invites a elderly patient to stay at his home to recover, unaware that he is a jewel thief. He plans to steal a valuable diamond but then runs into a beautiful nurse who, aside from constant",128
TMDB_M_405746,405746,Door,movie,Horror|Mystery|Thriller,Horror,1988-05-14,5.9,25,43.2451,ja,"Yasuko, a housewife, lives in an urban high-rise apartment with her husband Satoru and her son Takuto.  Annoyed by spam calls and door-to-door salesmen, Yasuko slams the door on a salesman’s hand when",90
TMDB_M_7451,7451,xXx,movie,Action|Adventure|Thriller|Crime|Drama,Action,2002-08-09,5.984,4847,53.7924,en,"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather informatio",150
TMDB_M_24428,24428,The Avengers,movie,Science Fiction|Action|Adventure,Science Fiction,2012-04-25,7.994,37100,53.4647,en,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull t",117
TMDB_M_1272837,1272837,28 Years Later: The Bone Temple,movie,Horror|Thriller|Science Fiction,Horror,2026-01-14,7.17,990,54.8418,en,Dr. Kelson finds himself in a shocking new relationship - with consequences that could change the world as they know it - and Spike's encounter with Jimmy Crystal becomes a nightmare he can't escape.,160
TMDB_M_1634301,1634301,Vanaveera,movie,Action|Drama,Action,2026-02-13,7.5,6,46.0645,te,A descendant of the Vanara clan is pushed into conflict when a modern-day Ravana seizes his only bike for an election rally. What starts as a petty injustice soon erupts into a fierce fight for self-r,159
TMDB_M_1387382,1387382,Hunting Season,movie,Action|Drama|Thriller,Action,2025-12-05,6.911,179,47.557,en,"When a reclusive survivalist and his daughter rescue a mysterious, wounded woman from a river, they become entangled in a deadly web of violence and revenge, forcing them to confront a brutal criminal",126
TMDB_M_1235877,1235877,Jana Nayagan,movie,Action|Drama|Science Fiction,Action,,0.0,0,49.3898,ta,"A clash of ideologies. One stands for the people, the other feeds on control. Their paths collided once before. Years later, a child’s silent fear ignites the past, drawing a former police officer int",153
TMDB_M_936075,936075,Michael,movie,Music|Drama|History,Music,2026-04-22,0.0,0,48.076,en,"Discover the story of Michael Jackson, one of the most influential artists the world has ever known, and his life beyond the music, tracing his journey from the discovery of his extraordinary talent a",104
TMDB_M_98477,98477,The Eagle,movie,Adventure|Romance|Comedy,Adventure,1925-11-08,6.2,54,47.9103,en,"Vladimir Dubrouvsky, a lieutenant in the Russian army, catches the eye of Czarina Catherine II. He spurns her advances and flees, and she puts out a warrant for his arrest, dead or alive. Vladimir lea",170
TMDB_M_278,278,The Shawshank Redemption,movie,Drama|Crime,Drama,1994-09-23,8.718,30082,47.7653,en,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an a",88
TMDB_M_28975,28975,Taffin,movie,Action|Thriller,Action,1988-02-26,5.6,50,43.6377,en,"When a small Irish town is terrorized by a corrupt business syndicate, a lone hero wages an all out war.",85
TMDB_M_1167307,1167307,David,movie,Animation|Family|Drama|Music,Animation,2025-12-14,8.085,123,44.6612,en,"From the songs of his mother’s heart to the whispers of a faithful God, David’s story begins in quiet devotion. When the giant Goliath rises to terrorize a nation, a young shepherd armed with only a s",164
TMDB_M_425274,425274,Now You See Me: Now You Don't,movie,Crime|Thriller,Crime,2025-11-12,6.514,1349,45.6477,en,"The original Four Horsemen reunite with a new generation of illusionists to take on powerful diamond heiress Veronika Vanderberg, who leads a criminal empire built on money laundering and trafficking.",109
TMDB_M_1306368,1306368,The Rip,movie,Action|Thriller|Crime,Action,2026-01-13,7.051,1484,45.7539,en,"Trust frays when a team of Miami cops discovers millions in cash inside a run-down stash house, calling everyone — and everything — into question.",178
TMDB_M_12509,12509,Pollock,movie,Drama|History,Drama,2000-09-06,6.661,344,40.2836,en,"In August of 1949, Life Magazine ran a banner headline that begged the question: ""Jackson Pollock: Is he the greatest living painter in the United States?"" The film is a look back into the life of an ",117
TMDB_M_803796,803796,KPop Demon Hunters,movie,Fantasy|Music|Comedy|Animation,Fantasy,2025-06-20,8.024,2622,46.4528,en,"When K-pop superstars Rumi, Mira and Zoey aren't selling out stadiums, they're using their secret powers to protect their fans from supernatural threats.",90
TMDB_M_299536,299536,Avengers: Infinity War,movie,Adventure|Action|Science Fiction,Adventure,2018-04-25,8.234,31709,44.5664,en,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalac",109
TMDB_M_1266127,1266127,Ready or Not: Here I Come,movie,Horror|Comedy,Horror,2026-03-19,7.144,125,43.0396,en,"Moments after surviving an all-out attack from the Le Domas family, Grace discovers she’s reached the next level of the nightmarish game — and this time with her estranged sister Faith at her side. Gr",92
TMDB_M_1620551,1620551,Feel My Voice,movie,Music|Drama|Comedy,Music,2026-04-03,6.622,41,37.3131,it,"A teenager, the only hearing member of a deaf family, finds her voice and learns to believe in herself through her passion for singing.",128
TMDB_M_991494,991494,The SpongeBob Movie: Search for SquarePants,movie,Animation|Family|Comedy|Adventure|Fantasy,Animation,2025-12-16,6.735,260,39.4535,en,"Desperate to be a big guy, SpongeBob sets out to prove his bravery to Mr. Krabs by following The Flying Dutchman – a mysterious swashbuckling ghost pirate – on a seafaring adventure that takes him to ",115
TMDB_M_19592,19592,Dead Birds,movie,Horror|Thriller|Western,Horror,2005-04-22,5.677,285,35.9376,en,"Towards the end of the Civil War, a group of Confederate soldiers hole up on an abandoned plantation after robbing a bank, and find themselves at the mercy of supernatural forces.",138
TMDB_M_467905,467905,How to Make a Killing,movie,Comedy|Thriller,Comedy,2026-02-19,7.04,235,39.8207,en,"Disowned at birth by his obscenely wealthy family, blue-collar Becket Redfellow will stop at nothing to reclaim his inheritance, no matter how many relatives stand in his way.",161
TMDB_M_238,238,The Godfather,movie,Drama|Crime,Drama,1972-03-14,8.7,22726,41.8499,en,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his y",126
TMDB_M_1066313,1066313,The Draft!,movie,Science Fiction|Horror,Science Fiction,2026-03-05,6.25,4,33.0795,id,5 student. An old villa. Old well. Forbidden room. Dark secret of the past. A seemingly omnipotent evil. Survival is the key. Let the battle of wits begins...,100
TMDB_M_1117857,1117857,In Your Dreams,movie,Animation|Family|Comedy|Adventure|Fantasy,Animation,2025-11-07,6.953,202,39.7797,en,Stevie and her little brother Elliot journey into the wildly absurd landscape of their own dreams to ask the Sandman to grant them the perfect family.,127
TMDB_M_1234821,1234821,Jurassic World Rebirth,movie,Science Fiction|Adventure|Action,Science Fiction,2025-07-01,6.3,3189,37.2153,en,"Five years after the events of Jurassic World Dominion, covert operations expert Zora Bennett is contracted to lead a skilled team on a top-secret mission to secure genetic material from the world's t",125
TMDB_M_1054867,1054867,One Battle After Another,movie,Thriller|Crime|Comedy,Thriller,2025-09-23,7.37,3449,35.4948,en,"Washed-up revolutionary Bob exists in a state of stoned paranoia, surviving off-grid with his spirited, self-reliant daughter, Willa. When his evil nemesis resurfaces after 16 years and she goes missi",106
TMDB_M_677638,677638,We Bare Bears: The Movie,movie,Animation|Adventure|Family|Comedy|TV Movie,Animation,2020-06-30,7.84,844,36.8264,en,"When Grizz, Panda, and Ice Bear's love of food trucks and viral videos get out of hand, the brothers are now chased away from their home and embark on a trip to Canada, where they can live in peace.",165
TMDB_M_1192548,1192548,Hannah Waddingham: Home for Christmas,movie,Music,Music,2023-11-21,6.0,16,37.1593,en,Ring in the holidays with Emmy-winning star Hannah Waddingham as she welcomes special guests for a musical extravaganza at the London Coliseum.,114
TMDB_M_1246049,1246049,Dracula,movie,Horror|Fantasy|Romance,Horror,2025-07-30,7.087,1063,37.174,fr,"In late 15th-century Eastern Europe, Prince Vlad II’s bride is brutally murdered. As a result, he renounces God and damns Heaven itself. Cursed with eternal life, Vlad is reborn as Dracula, an immorta",169
TMDB_M_1635276,1635276,Eat Pray Bark,movie,Comedy,Comedy,2026-04-01,5.707,58,30.2748,de,"In this tumultuous comedy, five eccentric dog owners seek help in dealing with their four-legged friends. Their last hope: an intensive course with the charismatic and legendary dog trainer Nodon in t",167
TMDB_M_76600,76600,Avatar: The Way of Water,movie,Action|Adventure|Science Fiction,Action,2022-12-14,7.593,13932,34.8454,en,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other sa",162
TMDB_M_517302,517302,Hatching,movie,Horror|Fantasy|Drama,Horror,2022-03-04,6.254,481,32.3349,fi,"12 year old Tinja is desperate to please her mother, a woman obsessed with presenting the image of a perfect family. One night, Tinja finds a strange egg. What hatches is beyond belief.",89
TMDB_M_1426964,1426964,State of Fear,movie,Action|Thriller|Crime|Drama,Action,2026-02-10,5.565,62,34.2881,pt,"As São Paulo erupts in an unprecedented wave of violence, a lawyer with underworld ties must strike a deal with the police to rescue her kidnapped niece.",157
TMDB_M_744275,744275,After We Fell,movie,Drama|Romance,Drama,2021-09-01,7.016,2716,34.3857,en,"Just as Tessa's life begins to become unglued, nothing is what she thought it would be. Not her friends nor her family. The only person that she should be able to rely on is Hardin, who is furious whe",161
TMDB_M_1011985,1011985,Kung Fu Panda 4,movie,Animation|Family|Action|Comedy|Adventure|Fantasy,Animation,2024-03-02,7.002,3440,35.4803,en,"Po is gearing up to become the spiritual leader of his Valley of Peace, but also needs someone to take his place as Dragon Warrior. As such, he will train a new kung fu practitioner for the spot and w",101
TMDB_M_1010581,1010581,My Fault,movie,Drama|Romance|Thriller,Drama,2023-06-08,7.8,4027,34.3298,es,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists livi",148
TMDB_M_1241470,1241470,Osiris,movie,Science Fiction|Action|Horror,Science Fiction,2025-07-25,5.98,220,33.0277,en,"Special Forces commandos on a mission are abducted mid-operation by a mysterious spacecraft. Upon waking aboard, they find themselves prey to a relentless alien race in a fight for survival.",173
TMDB_M_62029,62029,Bingo Bongo,movie,Comedy,Comedy,1982-12-23,5.7,172,32.3647,it,"The ape-man, found somewhere in the jungles of Congo, transferred to Milan and named Bingo Bongo. The only one who believes in the human qualities of him is Laura, a woman anthropologist , so their af",111
TMDB_M_1630433,1630433,The Red Line,movie,Thriller|Crime|Drama,Thriller,2026-03-22,6.889,45,31.382,th,"Three women fall prey to a ruthless phone scam. To settle the score, they'll take on the criminal network that stole their money — and their dignity.",100
TMDB_M_1314786,1314786,Agent Zeta,movie,Drama|Thriller,Drama,2026-03-20,6.7,111,34.7478,es,"Four Spanish ex-intelligence officers are assassinated simultaneously worldwide. The CNI discovers all participated in the covert ""Operation Ciénaga"" decades ago in Colombia. Zeta, the CNI's best oper",139
TMDB_M_226674,226674,The Adolescent,movie,Drama,Drama,1979-01-24,4.3,12,27.7879,fr,"In the summer of 1939, 13-year-old Marie goes with her parents to visit her grandparents in a small town near Avignon. Marie discovers her femininity and falls for a young Jewish doctor, but he prefer",128
TMDB_M_402431,402431,Wicked,movie,Drama|Romance|Fantasy,Drama,2024-10-16,6.912,2954,34.809,en,"In the land of Oz, ostracized and misunderstood green-skinned Elphaba is forced to share a room with the popular aristocrat Glinda at Shiz University, and the two's unlikely friendship is tested as th",114
TMDB_M_1292695,1292695,They Will Kill You,movie,Action|Horror|Comedy,Action,2026-03-25,6.6,126,31.3409,en,"A woman answers a help wanted ad to be a housekeeper in a mysterious New York City high-rise, unaware that she is entering a community that has seen a number of disappearances over the years and may b",161
TMDB_M_1601243,1601243,Oscar Shaw,movie,Action|Crime|Thriller|Western,Action,2026-01-09,6.483,29,33.2064,en,"After retiring from the police force, a relentless detective haunted by the tragic loss of his closest friend sets out on a perilous quest for vengeance, seeking redemption and fighting to restore jus",168
TMDB_M_19995,19995,Avatar,movie,Science Fiction|Action|Adventure,Science Fiction,2009-12-16,7.6,33749,37.2223,en,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",151
TMDB_M_1511417,1511417,Bāhubali: The Epic,movie,Action|Drama,Action,2025-10-29,6.0,34,32.1152,te,"When a mysterious child is found by a tribal couple near a roaring waterfall, they raise him as their own. As he grows, Sivudu is drawn to the world beyond the cliffs, where he discovers the ancient k",108
TMDB_M_120,120,The Lord of the Rings: The Fellowship of the Ring,movie,Adventure|Fantasy|Action,Adventure,2001-12-18,8.431,27298,32.5351,en,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowshi",167
