watch_event_id,customer_id,content_id,watch_date,watch_start_time,watch_duration_minutes,completion_percentage,device_type,session_id,is_resumed
WE_00000042,CUST_000000,TMDB_M_1196067,2026-04-08,15:55:00,16,0.13,gaming_console,SESS_933C8D00,False
WE_00000043,CUST_000000,TMDB_M_429,2026-02-01,14:01:00,63,0.39,mobile,SESS_ED56C714,False
WE_00000044,CUST_000000,TMDB_T_4604,2026-03-27,19:13:00,25,0.47,gaming_console,SESS_7F13DE67,False
WE_00000045,CUST_000000,TMDB_T_76479,2026-03-24,07:41:00,13,0.28,gaming_console,SESS_7F6BF62C,False
WE_00000046,CUST_000000,TMDB_T_1434,2026-03-14,21:33:00,6,0.17,gaming_console,SESS_E237C877,False
WE_00000047,CUST_000000,TMDB_M_808,2026-04-16,07:36:00,31,0.19,gaming_console,SESS_4A5D6CEA,False
WE_00000048,CUST_000000,TMDB_T_66732,2026-01-27,18:25:00,45,0.91,gaming_console,SESS_1E42D2B8,False
WE_00000049,CUST_000000,TMDB_M_991494,2026-02-16,12:10:00,51,0.45,gaming_console,SESS_CBF6AA23,False
WE_00000050,CUST_000000,TMDB_T_48866,2026-03-04,21:47:00,4,0.1,gaming_console,SESS_3513A238,False
WE_00000051,CUST_000000,TMDB_T_220150,2026-04-17,20:09:00,6,0.13,gaming_console,SESS_6A25542E,False
WE_00000052,CUST_000000,TMDB_T_76479,2026-04-14,08:10:00,7,0.17,gaming_console,SESS_5982AA44,False
WE_00000053,CUST_000000,TMDB_M_83533,2026-01-20,09:02:00,55,0.59,gaming_console,SESS_365BC763,False
WE_00000054,CUST_000000,TMDB_T_119051,2026-04-01,10:49:00,7,0.19,gaming_console,SESS_B0A4F557,True
WE_00000055,CUST_000000,TMDB_M_1610418,2026-02-26,17:34:00,25,0.23,gaming_console,SESS_115DB44F,False
WE_00000056,CUST_000000,TMDB_M_83533,2026-03-22,16:57:00,40,0.43,gaming_console,SESS_8CCC617E,False
WE_00000057,CUST_000000,TMDB_M_1646787,2026-04-13,09:17:00,39,0.46,gaming_console,SESS_1D2467E2,False
WE_00000058,CUST_000000,TMDB_T_95557,2026-04-22,10:22:00,13,0.44,gaming_console,SESS_65637D1F,False
WE_00000059,CUST_000000,TMDB_M_286217,2026-02-19,18:40:00,15,0.18,gaming_console,SESS_F5C9F459,True
WE_00000060,CUST_000001,TMDB_M_324857,2026-04-03,11:16:00,25,0.28,gaming_console,SESS_31AB0158,False
WE_00000061,CUST_000001,TMDB_T_1431,2026-02-12,14:19:00,21,0.51,gaming_console,SESS_EC1A86D3,False
WE_00000062,CUST_000001,TMDB_T_72517,2026-04-12,17:18:00,6,0.15,gaming_console,SESS_7978DC84,True
WE_00000063,CUST_000001,TMDB_T_17610,2025-11-17,15:39:00,41,0.74,gaming_console,SESS_22C0C475,False
WE_00000064,CUST_000001,TMDB_M_1117857,2025-12-26,07:13:00,106,0.84,gaming_console,SESS_75EB0E8F,False
WE_00000065,CUST_000001,TMDB_M_863,2026-04-15,06:03:00,8,0.1,gaming_console,SESS_E55B93AD,False
WE_00000066,CUST_000001,TMDB_T_76479,2026-02-12,23:09:00,39,0.83,gaming_console,SESS_D06D3943,False
WE_00000067,CUST_000001,TMDB_T_2288,2026-01-23,13:02:00,35,0.67,gaming_console,SESS_0E5779EC,False
WE_00000068,CUST_000001,TMDB_T_95479,2026-02-13,15:38:00,20,0.52,tablet,SESS_90A014AB,False
WE_00000069,CUST_000001,TMDB_T_45790,2026-04-08,10:26:00,6,0.16,tablet,SESS_8E2017E1,False
WE_00000070,CUST_000001,TMDB_T_289219,2026-01-31,11:24:00,48,0.94,gaming_console,SESS_93D054E4,False
WE_00000071,CUST_000001,TMDB_M_863,2026-03-06,17:29:00,66,0.6,gaming_console,SESS_EA8B31F5,False
WE_00000072,CUST_000001,TMDB_T_12225,2026-03-14,19:05:00,6,0.11,gaming_console,SESS_10F35676,False
WE_00000073,CUST_000001,TMDB_M_912649,2026-04-21,17:08:00,59,0.41,gaming_console,SESS_D73AAE7B,False
WE_00000074,CUST_000001,TMDB_T_1668,2026-04-08,18:42:00,5,0.12,mobile,SESS_600FC79C,True
WE_00000075,CUST_000001,TMDB_T_65733,2026-03-27,16:38:00,6,0.12,smart_tv,SESS_2A7CF9E9,True
WE_00000076,CUST_000001,TMDB_M_991494,2026-01-28,22:47:00,34,0.3,gaming_console,SESS_2FF8107A,False
WE_00000077,CUST_000001,TMDB_M_378236,2026-01-06,10:19:00,61,0.38,gaming_console,SESS_C847B130,False
WE_00000078,CUST_000001,TMDB_M_680493,2025-11-16,08:00:00,118,0.7,gaming_console,SESS_DB9A0EB7,False
WE_00000079,CUST_000001,TMDB_T_30984,2025-12-15,22:28:00,8,0.28,gaming_console,SESS_4580DAC2,False
WE_00000080,CUST_000001,TMDB_M_324857,2025-12-16,14:52:00,77,0.86,gaming_console,SESS_E0864418,False
WE_00000081,CUST_000001,TMDB_M_150540,2026-03-07,06:11:00,54,0.35,gaming_console,SESS_D4575305,True
WE_00000082,CUST_000001,TMDB_T_108978,2026-01-15,09:37:00,24,0.58,gaming_console,SESS_866CFB2B,False
WE_00000083,CUST_000001,TMDB_T_17610,2026-01-24,06:18:00,29,0.53,gaming_console,SESS_5FCC997D,False
WE_00000084,CUST_000001,TMDB_M_1653994,2026-04-08,20:02:00,32,0.36,gaming_console,SESS_33BCB8A9,False
WE_00000085,CUST_000001,TMDB_M_1403735,2026-02-13,14:00:00,66,0.57,gaming_console,SESS_8188DE48,False
WE_00000086,CUST_000001,TMDB_T_85077,2026-02-14,22:04:00,49,0.92,gaming_console,SESS_E7AB2EF7,False
WE_00000087,CUST_000001,TMDB_T_2190,2025-12-23,15:59:00,40,0.77,tablet,SESS_5711D5FD,False
WE_00000088,CUST_000001,TMDB_T_76572,2026-03-18,22:49:00,13,0.36,gaming_console,SESS_DFB68A5F,False
WE_00000089,CUST_000001,TMDB_T_76572,2026-01-20,18:04:00,50,0.96,gaming_console,SESS_53CC6B95,True
WE_00000090,CUST_000001,TMDB_T_108978,2025-12-25,13:49:00,40,0.95,gaming_console,SESS_192703A7,False
WE_00000091,CUST_000001,TMDB_T_37854,2026-01-14,08:03:00,46,0.8,gaming_console,SESS_84222F58,False
WE_00000092,CUST_000001,TMDB_T_17610,2025-12-14,06:59:00,45,0.81,gaming_console,SESS_3487246C,False
WE_00000093,CUST_000001,TMDB_M_378236,2025-12-12,12:12:00,160,0.99,gaming_console,SESS_6338FB29,False
WE_00000094,CUST_000001,TMDB_T_30984,2026-03-07,22:51:00,12,0.4,gaming_console,SESS_1DA76D69,False
WE_00000095,CUST_000001,TMDB_T_30984,2025-12-07,06:23:00,7,0.23,gaming_console,SESS_0B458C23,False
WE_00000096,CUST_000001,TMDB_T_17610,2026-04-09,22:31:00,9,0.17,gaming_console,SESS_DF3334C6,False
WE_00000097,CUST_000001,TMDB_T_112527,2026-01-07,23:54:00,12,0.48,gaming_console,SESS_E3A1AF97,True
WE_00000098,CUST_000001,TMDB_M_677638,2025-12-02,22:19:00,108,0.66,gaming_console,SESS_C4246277,True
WE_00000099,CUST_000001,TMDB_M_1311031,2026-03-22,18:45:00,15,0.19,tablet,SESS_05C14422,False
WE_00000100,CUST_000001,TMDB_T_8962,2025-12-25,22:59:00,8,0.26,gaming_console,SESS_A38BBAA4,False
WE_00000101,CUST_000001,TMDB_T_57243,2026-02-02,06:02:00,20,0.67,tablet,SESS_33579B27,False
WE_00000102,CUST_000001,TMDB_T_65334,2026-01-20,07:15:00,17,0.36,tablet,SESS_88433A38,False
WE_00000103,CUST_000001,TMDB_T_1400,2026-04-08,17:04:00,20,0.38,smart_tv,SESS_ABCEC90F,False
WE_00000104,CUST_000001,TMDB_M_936075,2026-04-17,10:17:00,48,0.47,desktop,SESS_2851A8BE,False
WE_00000105,CUST_000001,TMDB_T_85077,2025-12-11,13:01:00,29,0.55,gaming_console,SESS_F5530567,False
WE_00000106,CUST_000001,TMDB_T_127529,2025-11-21,18:43:00,43,0.85,gaming_console,SESS_1A354475,False
WE_00000107,CUST_000001,TMDB_T_37854,2025-11-19,19:44:00,46,0.81,gaming_console,SESS_8CA33A54,False
WE_00000108,CUST_000001,TMDB_T_85077,2025-12-20,07:15:00,25,0.48,gaming_console,SESS_F17AA7A9,False
WE_00000109,CUST_000001,TMDB_T_15260,2026-04-14,13:52:00,11,0.33,smart_tv,SESS_92F71993,True
WE_00000110,CUST_000001,TMDB_T_20111,2025-11-29,13:18:00,8,0.23,gaming_console,SESS_4FB67094,True
WE_00000111,CUST_000001,TMDB_T_65733,2026-02-24,21:45:00,13,0.26,mobile,SESS_8A6342CA,False
WE_00000112,CUST_000001,TMDB_T_34307,2026-02-14,15:23:00,32,0.89,gaming_console,SESS_076C108D,False
WE_00000113,CUST_000001,TMDB_M_1290821,2026-03-27,23:32:00,23,0.2,tablet,SESS_0CEAAF73,True
WE_00000114,CUST_000001,TMDB_T_1421,2026-04-03,14:05:00,15,0.38,gaming_console,SESS_160BEED4,False
WE_00000115,CUST_000001,TMDB_M_875828,2026-03-07,23:13:00,38,0.31,gaming_console,SESS_B465C027,True
WE_00000116,CUST_000001,TMDB_T_17610,2026-03-08,09:01:00,20,0.36,gaming_console,SESS_A124FDB2,False
WE_00000117,CUST_000001,TMDB_M_812,2026-02-22,14:54:00,101,0.86,gaming_console,SESS_7222534D,False
WE_00000118,CUST_000001,TMDB_M_1326106,2026-04-22,18:11:00,26,0.28,gaming_console,SESS_5513B74F,False
WE_00000119,CUST_000001,TMDB_T_85077,2026-02-24,14:51:00,51,0.95,tablet,SESS_C226AB53,False
WE_00000120,CUST_000001,TMDB_M_1115544,2026-03-17,19:50:00,23,0.24,desktop,SESS_141B9098,False
WE_00000121,CUST_000001,TMDB_T_72517,2026-02-25,23:29:00,29,0.64,tablet,SESS_C3B1927B,False
WE_00000122,CUST_000001,TMDB_T_12225,2026-03-23,06:17:00,23,0.4,mobile,SESS_17C95AAA,False
WE_00000123,CUST_000001,TMDB_T_20111,2026-03-25,14:23:00,8,0.24,gaming_console,SESS_B2D7692A,False
WE_00000124,CUST_000001,TMDB_T_291,2026-03-22,09:19:00,23,0.42,gaming_console,SESS_4F75D45A,False
WE_00000125,CUST_000001,TMDB_T_58841,2026-03-31,06:28:00,13,0.44,gaming_console,SESS_C438EAE0,True
WE_00000126,CUST_000001,TMDB_M_324857,2026-02-22,19:03:00,52,0.58,mobile,SESS_F28BF846,False
WE_00000127,CUST_000001,TMDB_M_1117857,2026-02-28,14:16:00,69,0.55,gaming_console,SESS_E54CA6CA,False
WE_00000128,CUST_000001,TMDB_T_65334,2026-03-06,13:07:00,44,0.9,gaming_console,SESS_5D0B042D,False
WE_00000129,CUST_000001,TMDB_T_45790,2026-03-13,13:03:00,9,0.23,gaming_console,SESS_EAD1D758,False
WE_00000130,CUST_000001,TMDB_M_1268127,2026-03-23,23:45:00,14,0.11,tablet,SESS_DC5CD673,True
WE_00000131,CUST_000001,TMDB_T_67460,2026-03-20,13:13:00,16,0.28,gaming_console,SESS_7CCD3DC0,False
WE_00000132,CUST_000001,TMDB_T_202555,2026-04-06,19:56:00,13,0.37,gaming_console,SESS_1CE62A9F,False
WE_00000133,CUST_000001,TMDB_M_1600672,2026-02-21,21:18:00,111,0.98,tablet,SESS_D8842354,False
WE_00000134,CUST_000001,TMDB_M_150540,2026-03-10,12:51:00,72,0.46,gaming_console,SESS_593EDC83,False
WE_00000135,CUST_000001,TMDB_T_1416,2026-04-03,10:24:00,15,0.25,gaming_console,SESS_8208FD42,False
WE_00000136,CUST_000001,TMDB_M_1419406,2026-02-28,22:36:00,152,0.97,gaming_console,SESS_B6DA99CD,False
WE_00000137,CUST_000001,TMDB_T_67460,2026-04-12,22:33:00,24,0.42,gaming_console,SESS_8E5FD65F,False
WE_00000138,CUST_000001,TMDB_M_823219,2026-03-24,13:29:00,34,0.23,tablet,SESS_4D579D00,False
WE_00000139,CUST_000001,TMDB_T_95557,2026-03-04,22:04:00,15,0.49,gaming_console,SESS_972D5D57,False
WE_00000140,CUST_000001,TMDB_T_68350,2026-04-20,23:15:00,5,0.19,mobile,SESS_3E628981,False
WE_00000141,CUST_000001,TMDB_T_44217,2026-04-11,09:05:00,16,0.42,gaming_console,SESS_7B7CE7CC,False
WE_00000142,CUST_000001,TMDB_T_19530,2026-04-23,12:57:00,8,0.33,gaming_console,SESS_354F184E,False
WE_00000143,CUST_000001,TMDB_T_2288,2026-04-17,21:47:00,11,0.21,gaming_console,SESS_6E5FBF71,True
WE_00000144,CUST_000001,TMDB_M_1327819,2026-02-22,08:08:00,18,0.22,gaming_console,SESS_9134C0B7,False
WE_00000145,CUST_000001,TMDB_T_17610,2026-04-08,23:15:00,13,0.24,gaming_console,SESS_B1B2B5F8,False
WE_00000146,CUST_000001,TMDB_T_76572,2026-03-05,07:04:00,36,0.69,gaming_console,SESS_AB6B3F08,False
WE_00000147,CUST_000001,TMDB_M_876566,2026-04-04,19:18:00,70,0.46,gaming_console,SESS_B63FA809,False
WE_00000148,CUST_000002,TMDB_T_46952,2026-03-20,10:57:00,48,0.93,smart_tv,SESS_1D444351,True
WE_00000149,CUST_000002,TMDB_M_11036,2026-01-12,14:49:00,51,0.46,mobile,SESS_534BFA86,True
WE_00000150,CUST_000002,TMDB_T_73586,2025-08-14,11:09:00,19,0.43,mobile,SESS_71F9B0E2,True
WE_00000151,CUST_000002,TMDB_M_475557,2026-03-26,14:36:00,114,0.78,mobile,SESS_67E2189B,False
WE_00000152,CUST_000002,TMDB_M_533535,2025-08-22,20:14:00,35,0.29,mobile,SESS_AF7D7F21,False
WE_00000153,CUST_000002,TMDB_T_1434,2025-08-09,09:59:00,16,0.41,mobile,SESS_D1E2B878,False
WE_00000154,CUST_000002,TMDB_T_291,2025-08-04,23:51:00,12,0.22,gaming_console,SESS_A51E01AD,False
WE_00000155,CUST_000002,TMDB_T_68350,2025-11-20,19:46:00,5,0.22,mobile,SESS_37B567B4,False
WE_00000156,CUST_000002,TMDB_M_1582770,2025-05-18,09:28:00,76,0.44,mobile,SESS_94AD345A,False
WE_00000157,CUST_000002,TMDB_T_291,2025-11-22,17:51:00,43,0.79,mobile,SESS_CF51A203,True
WE_00000158,CUST_000002,TMDB_T_790,2025-07-06,14:29:00,21,0.46,mobile,SESS_A92F85FE,False
WE_00000159,CUST_000002,TMDB_T_73586,2025-12-02,09:59:00,41,0.91,mobile,SESS_4A9FF50E,False
WE_00000160,CUST_000002,TMDB_M_429,2025-12-06,13:43:00,65,0.4,mobile,SESS_7279101C,False
WE_00000161,CUST_000002,TMDB_T_291,2025-11-10,08:33:00,23,0.43,mobile,SESS_E09EF2A3,False
WE_00000162,CUST_000002,TMDB_M_1316092,2026-04-02,11:02:00,78,0.59,mobile,SESS_CB5A4D77,False
WE_00000163,CUST_000002,TMDB_T_291,2025-07-27,11:56:00,32,0.59,mobile,SESS_EB22EC1D,False
WE_00000164,CUST_000002,TMDB_T_4177,2025-07-11,18:38:00,27,0.73,mobile,SESS_B7C12A4C,False
WE_00000165,CUST_000002,TMDB_T_291,2025-11-16,19:28:00,53,0.97,tablet,SESS_FD8398C3,False
WE_00000166,CUST_000002,TMDB_T_291,2026-02-17,17:44:00,53,0.97,mobile,SESS_9C8AA872,False
WE_00000167,CUST_000002,TMDB_T_283123,2025-05-19,19:43:00,20,0.59,desktop,SESS_D8FEB8DE,False
WE_00000168,CUST_000002,TMDB_T_291,2025-08-10,16:26:00,13,0.25,tablet,SESS_0FFA2366,False
WE_00000169,CUST_000002,TMDB_M_1088434,2025-10-27,16:40:00,32,0.41,mobile,SESS_F7C8435F,False
WE_00000170,CUST_000002,TMDB_T_291,2025-08-19,16:08:00,34,0.63,smart_tv,SESS_8F5E248E,False
WE_00000171,CUST_000002,TMDB_T_285469,2025-03-25,16:58:00,11,0.22,mobile,SESS_1C153057,False
WE_00000172,CUST_000002,TMDB_M_429,2026-04-11,11:53:00,79,0.49,mobile,SESS_07FBB920,False
WE_00000173,CUST_000002,TMDB_T_291,2026-03-17,13:00:00,25,0.47,mobile,SESS_9714FADC,True
WE_00000174,CUST_000002,TMDB_T_65733,2025-03-25,21:02:00,31,0.62,mobile,SESS_B636CC4C,False
WE_00000175,CUST_000002,TMDB_T_291,2025-08-16,18:41:00,23,0.42,mobile,SESS_6F689D65,False
WE_00000176,CUST_000002,TMDB_T_46260,2026-03-29,22:46:00,35,0.89,mobile,SESS_2C649ADF,False
WE_00000177,CUST_000002,TMDB_M_429,2026-03-25,18:12:00,45,0.28,mobile,SESS_8E301BCC,False
WE_00000178,CUST_000002,TMDB_M_1265609,2025-08-21,15:17:00,80,0.54,mobile,SESS_5C3BD3B5,False
WE_00000179,CUST_000002,TMDB_M_11036,2025-05-05,19:35:00,47,0.43,mobile,SESS_49D93A08,False
WE_00000180,CUST_000002,TMDB_M_1634301,2025-08-07,06:31:00,100,0.63,mobile,SESS_2023FD4B,False
WE_00000181,CUST_000002,TMDB_M_1290821,2025-09-21,06:25:00,88,0.77,mobile,SESS_A5FCD671,False
WE_00000182,CUST_000002,TMDB_T_73586,2025-10-29,09:35:00,21,0.47,smart_tv,SESS_E288109D,False
WE_00000183,CUST_000002,TMDB_M_429,2025-11-20,13:03:00,84,0.52,gaming_console,SESS_F997F697,False
WE_00000184,CUST_000002,TMDB_M_1601243,2025-07-22,19:55:00,38,0.23,mobile,SESS_2320DE16,True
WE_00000185,CUST_000002,TMDB_M_1367642,2026-03-03,16:29:00,84,0.6,mobile,SESS_DC32F8A0,False
WE_00000186,CUST_000002,TMDB_M_429,2025-12-03,10:48:00,88,0.54,mobile,SESS_B2051CEC,True
WE_00000187,CUST_000002,TMDB_M_1336770,2025-12-06,09:02:00,51,0.33,mobile,SESS_9F8D367D,False
WE_00000188,CUST_000002,TMDB_M_1325734,2025-11-23,18:00:00,79,0.8,mobile,SESS_6C936F69,False
WE_00000189,CUST_000002,TMDB_M_863,2025-10-23,22:20:00,69,0.78,tablet,SESS_627CA9F7,False
WE_00000190,CUST_000002,TMDB_T_291,2025-09-21,17:33:00,23,0.43,mobile,SESS_6CBDD931,False
WE_00000191,CUST_000002,TMDB_M_539972,2025-11-11,11:33:00,70,0.78,mobile,SESS_7F8736F1,False
WE_00000192,CUST_000002,TMDB_M_1325734,2025-11-12,06:19:00,31,0.32,mobile,SESS_B64E26CF,False
WE_00000193,CUST_000002,TMDB_M_1317672,2025-06-25,11:04:00,26,0.28,mobile,SESS_ED3353FC,False
WE_00000194,CUST_000002,TMDB_M_617126,2025-12-26,12:17:00,74,0.48,mobile,SESS_0890F506,False
WE_00000195,CUST_000002,TMDB_M_361743,2025-10-19,14:35:00,115,0.7,mobile,SESS_7BB775D4,False
WE_00000196,CUST_000002,TMDB_T_291,2026-02-15,14:36:00,42,0.78,mobile,SESS_948C7EB4,True
WE_00000197,CUST_000002,TMDB_M_1317672,2025-12-07,14:51:00,63,0.66,gaming_console,SESS_147F0413,False
WE_00000198,CUST_000002,TMDB_M_1650558,2026-01-24,08:59:00,49,0.33,mobile,SESS_86C2AD8F,False
WE_00000199,CUST_000002,TMDB_M_1523145,2025-05-29,10:32:00,74,0.46,smart_tv,SESS_C02627D1,False
WE_00000200,CUST_000002,TMDB_M_1180831,2025-10-18,23:25:00,86,0.6,mobile,SESS_8456CE4F,False
WE_00000201,CUST_000002,TMDB_T_1695,2025-09-28,22:05:00,26,0.48,tablet,SESS_9C2D9672,False
WE_00000202,CUST_000002,TMDB_M_1317149,2025-07-02,19:35:00,136,0.96,mobile,SESS_A1731ED8,False
WE_00000203,CUST_000002,TMDB_M_1175942,2026-03-05,19:41:00,92,0.75,mobile,SESS_AB310BFE,False
WE_00000204,CUST_000002,TMDB_T_1911,2025-03-27,19:13:00,43,0.88,tablet,SESS_8A08D40E,False
WE_00000205,CUST_000002,TMDB_T_291,2025-06-20,12:00:00,19,0.36,mobile,SESS_9CF021B8,False
WE_00000206,CUST_000002,TMDB_M_62201,2025-08-30,14:02:00,76,0.6,mobile,SESS_88F7F097,False
WE_00000207,CUST_000002,TMDB_T_73586,2026-02-06,06:55:00,19,0.42,mobile,SESS_743B9F71,False
WE_00000208,CUST_000002,TMDB_M_1368166,2025-11-11,21:47:00,105,0.71,mobile,SESS_92EF63C1,False
WE_00000209,CUST_000002,TMDB_M_429,2026-04-03,10:45:00,81,0.5,mobile,SESS_5A589B67,False
WE_00000210,CUST_000002,TMDB_M_429,2025-05-21,16:06:00,89,0.55,mobile,SESS_4B6C14E4,False
WE_00000211,CUST_000002,TMDB_T_32692,2025-08-04,06:21:00,15,0.36,mobile,SESS_B1EEDF64,False
WE_00000212,CUST_000002,TMDB_M_1297842,2025-08-24,22:00:00,31,0.34,tablet,SESS_4DD7962B,False
WE_00000213,CUST_000002,TMDB_M_429,2025-10-07,14:05:00,57,0.35,mobile,SESS_42AC66DC,False
WE_00000214,CUST_000002,TMDB_T_291,2025-04-06,06:19:00,18,0.34,mobile,SESS_94010DFE,False
WE_00000215,CUST_000002,TMDB_M_1291335,2025-09-10,20:05:00,77,0.87,mobile,SESS_A8049463,True
WE_00000216,CUST_000002,TMDB_M_429,2025-04-30,06:49:00,73,0.45,mobile,SESS_BCC4F0DB,False
WE_00000217,CUST_000002,TMDB_M_986056,2025-03-20,13:19:00,29,0.27,mobile,SESS_7C193E6F,False
WE_00000218,CUST_000002,TMDB_T_4656,2026-02-06,10:19:00,49,0.89,mobile,SESS_13AD3EAD,True
WE_00000219,CUST_000002,TMDB_M_1426964,2026-03-11,12:17:00,102,0.65,mobile,SESS_408669BB,False
WE_00000220,CUST_000002,TMDB_T_44006,2025-06-13,08:31:00,17,0.41,mobile,SESS_4674A0EB,False
WE_00000221,CUST_000002,TMDB_M_1327862,2025-09-17,18:09:00,113,0.75,mobile,SESS_BDCE4D4D,False
WE_00000222,CUST_000002,TMDB_M_1235877,2025-06-30,15:13:00,84,0.55,mobile,SESS_E8FE6095,False
WE_00000223,CUST_000002,TMDB_M_1634301,2025-11-27,12:29:00,96,0.61,mobile,SESS_A8BE6C80,False
WE_00000224,CUST_000002,TMDB_T_291,2025-05-13,17:36:00,17,0.31,mobile,SESS_2CE6F908,False
WE_00000225,CUST_000002,TMDB_M_1523145,2026-01-10,17:55:00,74,0.46,mobile,SESS_3C775558,False
WE_00000226,CUST_000002,TMDB_M_1726,2025-06-04,17:19:00,77,0.72,mobile,SESS_8702F4AD,False
WE_00000227,CUST_000002,TMDB_T_73586,2025-12-19,19:46:00,39,0.85,mobile,SESS_FBEC1ED8,False
WE_00000228,CUST_000002,TMDB_M_198663,2025-07-17,15:02:00,72,0.47,mobile,SESS_987593C3,False
